threshold,precision,recall,f1,accuracy,tp,fp,tn,fn
0.0,0.13499308437067772,1.0,0.23787472581038266,0.13499308437067772,488,3127,0,0
0.01,0.2124283825473777,0.9877049180327869,0.34965542256075444,0.5040110650069156,482,1787,1340,6
0.02,0.28320194057004244,0.9569672131147541,0.43706130088909684,0.6672199170124481,467,1182,1945,21
0.03,0.3481254781943382,0.9323770491803278,0.5069637883008357,0.7551867219917012,455,852,2275,33
0.04,0.4108455882352941,0.9159836065573771,0.567258883248731,0.8113416320885201,447,641,2486,41
0.05,0.46673706441393875,0.9057377049180327,0.61602787456446,0.8475795297372061,442,505,2622,46
0.06,0.5282791817087846,0.8995901639344263,0.66565579984837,0.8780082987551867,439,392,2735,49
0.07,0.5653298835705045,0.8954918032786885,0.6931007137192704,0.8929460580912864,437,336,2791,51
0.08,0.5939643347050755,0.8872950819672131,0.7115858668857847,0.9029045643153527,433,296,2831,55
0.09,0.6338235294117647,0.8831967213114754,0.738013698630137,0.9153526970954357,431,249,2878,57
0.1,0.6739811912225705,0.8811475409836066,0.7637655417406749,0.926417704011065,430,208,2919,58
0.11,0.7044334975369458,0.8790983606557377,0.7821330902461258,0.9338865836791148,429,180,2947,59
0.12,0.7319587628865979,0.8729508196721312,0.7962616822429907,0.9396957123098202,426,156,2971,62
0.13,0.7447552447552448,0.8729508196721312,0.8037735849056604,0.9424619640387275,426,146,2981,62
0.14,0.7620751341681574,0.8729508196721312,0.8137535816618912,0.946058091286307,426,133,2994,62
0.15,0.7798165137614679,0.8709016393442623,0.8228460793804453,0.9493775933609958,425,120,3007,63
0.16,0.7921348314606742,0.8668032786885246,0.8277886497064579,0.9513139695712309,423,111,3016,65
0.17,0.8022813688212928,0.8647540983606558,0.8323471400394478,0.9529737206085753,422,104,3023,66
0.18,0.8155339805825242,0.860655737704918,0.8374875373878365,0.9549100968188106,420,95,3032,68
0.19,0.8333333333333334,0.860655737704918,0.8467741935483871,0.9579529737206086,420,84,3043,68
0.2,0.8467741935483871,0.860655737704918,0.8536585365853658,0.9601659751037345,420,76,3051,68
0.21,0.8536585365853658,0.860655737704918,0.8571428571428571,0.9612724757952974,420,72,3055,68
0.22,0.8765690376569037,0.8586065573770492,0.8674948240165632,0.9645919778699862,419,59,3068,69
0.23,0.885593220338983,0.8565573770491803,0.8708333333333333,0.9656984785615491,418,54,3073,70
0.24,0.8931623931623932,0.8565573770491803,0.8744769874476988,0.966804979253112,418,50,3077,70
0.25,0.9028077753779697,0.8565573770491803,0.879074658254469,0.9681881051175657,418,45,3082,70
0.26,0.9047619047619048,0.8565573770491803,0.88,0.9684647302904564,418,44,3083,70
0.27,0.9106753812636166,0.8565573770491803,0.8827877507919747,0.9692946058091286,418,41,3086,70
0.28,0.9122807017543859,0.8524590163934426,0.8813559322033898,0.9690179806362379,416,40,3087,72
0.29,0.9142857142857143,0.8524590163934426,0.8822905620360552,0.9692946058091286,416,39,3088,72
0.3,0.9161147902869757,0.8504098360655737,0.8820403825717322,0.9692946058091286,415,38,3089,73
0.31,0.9242761692650334,0.8504098360655737,0.8858057630736392,0.9704011065006916,415,34,3093,73
0.32,0.9241071428571429,0.8483606557377049,0.8846153846153846,0.9701244813278008,414,34,3093,74
0.33,0.9282511210762332,0.8483606557377049,0.8865096359743041,0.9706777316735823,414,32,3095,74
0.34,0.9322799097065463,0.8463114754098361,0.8872180451127819,0.970954356846473,413,30,3097,75
0.35000000000000003,0.9343891402714932,0.8463114754098361,0.8881720430107527,0.9712309820193638,413,29,3098,75
0.36,0.9343891402714932,0.8463114754098361,0.8881720430107527,0.9712309820193638,413,29,3098,75
0.37,0.9427917620137299,0.8442622950819673,0.8908108108108108,0.972060857538036,412,25,3102,76
0.38,0.9426605504587156,0.8422131147540983,0.8896103896103896,0.9717842323651452,411,25,3102,77
0.39,0.9447004608294931,0.8401639344262295,0.8893709327548807,0.9717842323651452,410,24,3103,78
0.4,0.9490740740740741,0.8401639344262295,0.8913043478260869,0.9723374827109267,410,22,3105,78
0.41000000000000003,0.9534883720930233,0.8401639344262295,0.8932461873638344,0.9728907330567081,410,20,3107,78
0.42,0.9533799533799534,0.8381147540983607,0.8920392584514721,0.9726141078838174,409,20,3107,79
0.43,0.9578454332552693,0.8381147540983607,0.8939890710382513,0.9731673582295989,409,18,3109,79
0.44,0.9623529411764706,0.8381147540983607,0.895947426067908,0.9737206085753803,409,16,3111,79
0.45,0.9623529411764706,0.8381147540983607,0.895947426067908,0.9737206085753803,409,16,3111,79
0.46,0.9623529411764706,0.8381147540983607,0.895947426067908,0.9737206085753803,409,16,3111,79
0.47000000000000003,0.964622641509434,0.8381147540983607,0.8969298245614035,0.9739972337482711,409,15,3112,79
0.48,0.964622641509434,0.8381147540983607,0.8969298245614035,0.9739972337482711,409,15,3112,79
0.49,0.964622641509434,0.8381147540983607,0.8969298245614035,0.9739972337482711,409,15,3112,79
0.5,0.9691943127962085,0.8381147540983607,0.8989010989010989,0.9745504840940525,409,13,3114,79
0.51,0.9714964370546318,0.8381147540983607,0.8998899889988999,0.9748271092669433,409,12,3115,79
0.52,0.9714964370546318,0.8381147540983607,0.8998899889988999,0.9748271092669433,409,12,3115,79
0.53,0.9714964370546318,0.8381147540983607,0.8998899889988999,0.9748271092669433,409,12,3115,79
0.54,0.9738095238095238,0.8381147540983607,0.9008810572687225,0.975103734439834,409,11,3116,79
0.55,0.9738095238095238,0.8381147540983607,0.9008810572687225,0.975103734439834,409,11,3116,79
0.56,0.9738095238095238,0.8381147540983607,0.9008810572687225,0.975103734439834,409,11,3116,79
0.5700000000000001,0.9738095238095238,0.8381147540983607,0.9008810572687225,0.975103734439834,409,11,3116,79
0.58,0.9738095238095238,0.8381147540983607,0.9008810572687225,0.975103734439834,409,11,3116,79
0.59,0.9738095238095238,0.8381147540983607,0.9008810572687225,0.975103734439834,409,11,3116,79
0.6,0.9760765550239234,0.8360655737704918,0.9006622516556292,0.975103734439834,408,10,3117,80
0.61,0.9760191846522782,0.8340163934426229,0.8994475138121547,0.9748271092669433,407,10,3117,81
0.62,0.9760191846522782,0.8340163934426229,0.8994475138121547,0.9748271092669433,407,10,3117,81
0.63,0.9830508474576272,0.8319672131147541,0.9012208657047724,0.9753803596127247,406,7,3120,82
0.64,0.9830508474576272,0.8319672131147541,0.9012208657047724,0.9753803596127247,406,7,3120,82
0.65,0.9830097087378641,0.8299180327868853,0.9,0.975103734439834,405,7,3120,83
0.66,0.9830097087378641,0.8299180327868853,0.9,0.975103734439834,405,7,3120,83
0.67,0.9829683698296837,0.8278688524590164,0.8987764182424917,0.9748271092669433,404,7,3120,84
0.68,0.9829268292682927,0.8258196721311475,0.8975501113585747,0.9745504840940525,403,7,3120,85
0.6900000000000001,0.9852941176470589,0.8237704918032787,0.8973214285714286,0.9745504840940525,402,6,3121,86
0.7000000000000001,0.9852579852579852,0.8217213114754098,0.8960893854748604,0.9742738589211618,401,6,3121,87
0.71,0.9876847290640394,0.8217213114754098,0.8970917225950783,0.9745504840940525,401,5,3122,87
0.72,0.9900744416873449,0.8176229508196722,0.8956228956228957,0.9742738589211618,399,4,3123,89
0.73,0.9950124688279302,0.8176229508196722,0.8976377952755905,0.9748271092669433,399,2,3125,89
0.74,0.9950124688279302,0.8176229508196722,0.8976377952755905,0.9748271092669433,399,2,3125,89
0.75,0.9975,0.8176229508196722,0.8986486486486487,0.975103734439834,399,1,3126,89
0.76,0.9974937343358395,0.8155737704918032,0.8974069898534386,0.9748271092669433,398,1,3126,90
0.77,0.9974937343358395,0.8155737704918032,0.8974069898534386,0.9748271092669433,398,1,3126,90
0.78,0.9974554707379135,0.8032786885245902,0.8898978433598184,0.9731673582295989,392,1,3126,96
0.79,0.9974226804123711,0.7930327868852459,0.8835616438356164,0.9717842323651452,387,1,3126,101
0.8,0.9974093264248705,0.7889344262295082,0.8810068649885584,0.9712309820193638,385,1,3126,103
0.81,1.0,0.7827868852459017,0.8781609195402299,0.9706777316735823,382,0,3127,106
0.8200000000000001,1.0,0.7766393442622951,0.8742791234140715,0.9698478561549101,379,0,3127,109
0.8300000000000001,1.0,0.7622950819672131,0.8651162790697674,0.967911479944675,372,0,3127,116
0.84,1.0,0.7438524590163934,0.8531139835487661,0.9654218533886584,363,0,3127,125
0.85,1.0,0.7213114754098361,0.8380952380952381,0.9623789764868603,352,0,3127,136
0.86,1.0,0.7151639344262295,0.8339307048984468,0.9615491009681881,349,0,3127,139
0.87,1.0,0.6885245901639344,0.8155339805825242,0.9579529737206086,336,0,3127,152
0.88,1.0,0.6516393442622951,0.7890818858560794,0.9529737206085753,318,0,3127,170
0.89,1.0,0.6290983606557377,0.7723270440251573,0.9499308437067773,307,0,3127,181
0.9,1.0,0.6168032786885246,0.7629911280101395,0.9482710926694329,301,0,3127,187
0.91,1.0,0.5963114754098361,0.7471116816431322,0.9455048409405256,291,0,3127,197
0.92,1.0,0.5881147540983607,0.7406451612903225,0.9443983402489626,287,0,3127,201
0.93,1.0,0.5635245901639344,0.7208387942332897,0.9410788381742738,275,0,3127,213
0.9400000000000001,1.0,0.5614754098360656,0.7191601049868767,0.9408022130013831,274,0,3127,214
0.9500000000000001,1.0,0.5614754098360656,0.7191601049868767,0.9408022130013831,274,0,3127,214
0.96,1.0,0.5594262295081968,0.7174770039421814,0.9405255878284924,273,0,3127,215
0.97,1.0,0.5594262295081968,0.7174770039421814,0.9405255878284924,273,0,3127,215
0.98,1.0,0.5573770491803278,0.7157894736842105,0.9402489626556016,272,0,3127,216
0.99,1.0,0.5573770491803278,0.7157894736842105,0.9402489626556016,272,0,3127,216
1.0,0.0,0.0,0.0,0.8650069156293223,0,0,3127,488
